Rendah,PPD MANJUNG,ABA1005,SK CHANGKAT CHERMIN,CHANGKAT CHERMIN,32400,AYER TAWAR,PERAK,53765253,53765253
Rendah,PPD MANJUNG,ABA1006,SK AYER TAWAR,JALAN AYER TAWAR PANTAI REMIS,32400,AYER TAWAR,PERAK,56724248,56724248
Rendah,PPD MANJUNG,ABA1007,SK PANCHOR,JALAN PANTAI REMIS TAIPING,34900,PANTAI REMIS,PERAK,56775795,56773528
Rendah,PPD MANJUNG,ABA1008,SK PENGKALAN BAHARU,PENGKALAN BAHARU,34900,PANTAI REMIS,PERAK,56775595,56775595
Rendah,PPD MANJUNG,ABA1009,SK SUNGAI BATU,KAMPUNG SUNGAI BATU,34900,PANTAI REMIS,PERAK,56774660,56777529
Rendah,PPD MANJUNG,ABA1010,SK LADANG HUNTLY,LADANG HUNTLY,32500,CHANGKAT KERUING,PERAK,56752168,56752168
Rendah,PPD MANJUNG,ABA1011,SK SEGARI,JALAN PANTAI REMIS DAMAR LAUT,32200,LUMUT,PERAK,56774473,56774473
Rendah,PPD MANJUNG,ABA1012,SK NAKHODA MUHAMMAD TAIB,BATU 3 SEGARI,32200,LUMUT,PERAK,56777151,56777151
Rendah,PPD MANJUNG,ABA1013,SK SUNGAI RAMAI,KG. SG. RAMAI,32400,AYER TAWAR,PERAK,56721259,56721259
Rendah,PPD MANJUNG,ABA1014,SK SUNGAI WANGI,JALAN BRUAS,32400,AYER TAWAR,PERAK,56924192,56924192
Rendah,PPD MANJUNG,ABA1015,SK SERI SELAMAT,LORONG SELAMAT,32000,SITIAWAN,PERAK,56922495,56926143
Rendah,PPD MANJUNG,ABA1016,SK SITIAWAN,KAMPONG SITIAWAN,32000,SITIAWAN,PERAK,56923754,56923754
Rendah,PPD MANJUNG,ABA1017,SK LEKIR,BATU 8,32020,SITIAWAN,PERAK,56792764,56792764
Rendah,PPD MANJUNG,ABA1018,SK MUHAMMAD SAMAN,PASIR PANJANG LAUT,32040,SERI MANJUNG,PERAK,56939610,56939611
Rendah,PPD MANJUNG,ABA1019,SK BATU SEPULUH,LEKIR,32020,SITIAWAN,PERAK,56791206,56791951
Rendah,PPD MANJUNG,ABA1020,SK SUNGAI TIRAM,SUNGAI TIRAM,32020,SITIAWAN,PERAK,56690576,56690576
Rendah,PPD MANJUNG,ABA1021,SK DATO' ISHAK,"KAMPUNG PADANG TEMBAK, TELUK MUROK",32200,LUMUT,PERAK,56835440,56834332
Rendah,PPD MANJUNG,ABA1022,SK LUMUT,JLN ISKANDAR SHAH,32200,LUMUT,PERAK,56835322,56835322
Rendah,PPD MANJUNG,ABA1023,SK SERI PANGKOR,JALAN PASIR BOGAK,32300,PANGKOR,PERAK,56851193,56855911
Rendah,PPD MANJUNG,ABA1024,SK TELAGA NENAS,KG TELAGA NANAS,32400,AYER TAWAR,PERAK,56990070,56990070
Rendah,PPD MANJUNG,ABA1025,SK KAMPUNG BAHARU,KAMPONG BAHARU (L),32400,AYER TAWAR,PERAK,56915975,56915975
Rendah,PPD MANJUNG,ABA1026,SK KAYAN,JALAN TELUK INTAN - SITIAWAN,32030,SITIAWAN,PERAK,56792712,56792712
Rendah,PPD MANJUNG,ABA1027,SK PANGKALAN TLDM,PANGKALAN TLDM,32100,LUMUT,PERAK,56835890,56838527
Rendah,PPD MANJUNG,ABA1028,SK SERI MANJUNG,BANDAR BARU SERI MANJUNG,32040,SERI MANJUNG,PERAK,56881014,56889855
Rendah,PPD MANJUNG,ABA1029,SK PANTAI REMIS,JALAN RUMAH MURAH,34900,PANTAI REMIS,PERAK,56774375,56777586
Rendah,PPD MANJUNG,ABA1030,SK GUGUSAN LEKIR,D/A FELCRA GUGUSAN LEKIR,32000,SITIAWAN,PERAK,56923687,56926126
Rendah,PPD MANJUNG,ABA1031,SK PANGKALAN TLDM II,PANGKALAN TLDM,32100,LUMUT,PERAK,56834914,56838079
Rendah,PPD MANJUNG,ABA1032,SK KPG. DATO' SERI KAMARUDDIN,KPG DATO' SERI KAMARUDDIN,32040,SERI MANJUNG,PERAK,56886616,56886616
Rendah,PPD MANJUNG,ABA1033,SK SERI SITIAWAN,MANJUNG RAYA,32040,SERI MANJUNG,PERAK,56882087,56882326
Rendah,PPD MANJUNG,ABA1034,SK SERI BAYU,PETI SURAT 26 KOMPLEKS SEKOLAH WAWASAN MANJUNG,32040,SERI MANJUNG,PERAK,56888950,56883866
Rendah,PPD MANJUNG,ABA1035,SK SERI SAMUDERA,MANJUNG RAYA,32040,SERI MANJUNG,PERAK,56881909,56883703
Rendah,PPD KINTA UTARA,ABA2001,SK SUNGAI RAYA,"JLN. RAJA DR. NAZRIN SHAH, KAMPONG KEPAYANG",31300,KG. KEPAYANG,PERAK,53571660,53571660
Rendah,PPD KINTA UTARA,ABA2002,SK SUNGAI RAPAT,JALAN RAJA ABDULLAH,31350,IPOH,PERAK,53123528,53111632
Rendah,PPD KINTA UTARA,ABA2003,SK SUNGAI ROKAM,JALAN KENANGA,31350,IPOH,PERAK,53121890,53115806
Rendah,PPD KINTA UTARA,ABA2004,SK TAMBUN,JALAN AMPANG,31400,IPOH,PERAK,55469261,55499086
Rendah,PPD KINTA UTARA,ABA2005,SK TANJONG RAMBUTAN,JALAN STESEN,31250,TANJONG RAMBUTAN,PERAK,55332950,55330751
Rendah,PPD KINTA UTARA,ABA2006,SK TASEK,JALAN SULTAN AZLAN SHAH UTARA,31400,IPOH,PERAK,55464913,55464913
Rendah,PPD KINTA UTARA,ABA2007,SK CHEPOR,JALAN JELAPANG,31200,CHEMOR,PERAK,52017246,52012135
Rendah,PPD KINTA UTARA,ABA2008,SK HAJI MAHMUD,JALAN SEKOLAH,31200,CHEMOR,PERAK,52011534,52018980
Rendah,PPD KINTA UTARA,ABA2009,SK SYED IDRUS,KUANG,31200,CHEMOR,PERAK,52015669,52015669
Rendah,PPD KINTA UTARA,ABA2010,SK DATO' PANGLIMA KINTA,JALAN TUN PERAK,30200,IPOH,PERAK,52545680,52544884
Rendah,PPD KINTA UTARA,ABA2011,SK JALAN PANGLIMA BUKIT GANTANG,JALAN PANGLIMA BUKIT GANTANG WAHAB,30000,IPOH,PERAK,52559896,52432785
Rendah,PPD KINTA UTARA,ABA2012,SK SERI KEPAYANG,FAIR PARK,31400,IPOH,PERAK,55450905,55450905
Rendah,PPD KINTA UTARA,ABA2014,SK KAMPUNG PASIR PUTEH,TAMAN SHATIN,31650,IPOH,PERAK,53219041,53233870
Rendah,PPD KINTA UTARA,ABA2015,SK KUALA PARI,JALAN TOH PUAN RAHMAH,31450,MENGLEMBU,PERAK,52821788,52821788
Rendah,PPD KINTA UTARA,ABA2016,SK PENGKALAN PEGOH,"JALAN SIMPANG PULAI, KG. PENGKALAN PEGOH",31500,LAHAT,PERAK,53216399,53216399
Rendah,PPD KINTA SELATAN,ABA2017,SK PENGKALAN BAHARU,"JALAN GOPENG, KG. KEPAYANG",31300,KG. KEPAYANG,PERAK,53576199,53577962
Rendah,PPD KINTA SELATAN,ABA2018,SK GOPENG,TAMAN GOPENG BARU,31600,GOPENG,PERAK,53595922,53597103
Rendah,PPD KINTA SELATAN,ABA2019,SK GUNUNG PANJANG,KG. GUNUNG PANJANG,31600,GOPENG,PERAK,53593317,53593317
